Frequency(MHz),EIRP(dBm),BG_EIRP(dBm)
80.0,-89.2598608277705,-97.34185393079784
80.0925,-89.10399229749706,-98.157932116833
80.185,-85.97793944105175,-97.33728392347362
80.2775,-84.33636839612987,-99.287814929333
80.37,-87.5325330528127,-100.21556222761738
80.4625,-88.07789645905596,-98.94908176179034
80.555,-89.96117337848284,-99.25019010211565
80.6475,-82.98386985357376,-99.29465323980423
80.74,-82.62762956108656,-100.82948045219985
80.8325,-85.6135599839314,-99.2037699448689
80.925,-88.47624516751843,-99.6422531631239
81.0175,-86.84301207717967,-100.3112814253242
81.11,-84.38720055666512,-98.94533654299325
81.2025,-81.75113696095526,-96.89991015431464
81.295,-82.03871838477667,-97.13149182227667
81.3875,-83.94656958398869,-99.46526922998478
81.48,-82.3134509345679,-97.72701752392337
81.5725,-81.37417994139712,-97.9135552465729
81.665,-76.74067982224976,-97.79365833787476
81.7575,-78.14187818943053,-99.81070143161803
81.85,-84.40045265524411,-99.32064918844723
81.9425,-85.74073793648739,-100.17671968697567
82.035,-81.60327816157832,-97.74490261226191
82.1275,-78.06584737836846,-99.15867422163018
82.22,-78.02914138763907,-98.14764114349845
82.3125,-83.42506021380423,-99.55115884661673
82.405,-85.36440555364125,-97.73265353948109
82.4975,-85.21283902824389,-97.95875730216967
82.59,-82.74044120401842,-99.31553733438952
82.6825,-81.69096360684372,-100.05226884366013
82.775,-84.41128428847762,-99.03546031386824
82.8675,-87.48022252382245,-97.78223973573651
82.96,-88.97855071278057,-98.93228606434307
83.0525,-79.494533320684,-98.01628472449259
83.145,-78.79342913659524,-99.51961016686867
83.2375,-85.10349438610022,-100.18159649791663
83.33,-86.49920721861304,-99.97779913755835
83.4225,-85.80097168686802,-98.39851349595006
83.515,-81.22535578402926,-96.28936640414645
83.6075,-78.68142475667878,-97.99619068685456
83.7,-82.85627424690644,-101.35430586311737
83.7925,-87.34275398615752,-98.21287117365752
83.885,-86.91556795392422,-99.01869447980313
83.9775,-81.10262447540188,-98.3348556155386
84.07,-78.39270834062953,-98.89376119707484
84.1625,-80.04775192265404,-99.9953990173806
84.255,-86.72565317069419,-100.05534982596762
84.3475,-85.8722204953945,-99.46966312234763
84.44,-81.03476377224324,-99.09171720241902
84.5325,-78.34947532301776,-97.9568361628615
84.625,-79.12164536988602,-100.32649461305009
84.7175,-84.71191539234025,-99.65211619800431
84.81,-86.25264012670851,-97.81121098852492
84.9025,-81.00195250756116,-97.73426757103772
84.995,-75.4289763752302,-96.12884362376536
85.0875,-77.12829333371958,-96.37486010618052
85.18,-84.30204419113473,-99.78188733078316
85.2725,-82.25336768038581,-99.44559027560065
85.365,-80.59554505147284,-99.05653595723456
85.4575,-74.72057459541142,-100.70214197822392
85.55,-75.19791432001406,-97.69956989862735
85.6425,-79.99066847332764,-97.22392195233155
85.735,-81.19821754851624,-96.37631050505921
85.8275,-81.62810243913451,-98.19735445329466
85.92,-75.39926540592465,-96.91901790836606
86.0125,-74.40877828726558,-98.4603224767187
86.105,-80.50578506509089,-99.05201919595027
86.1975,-83.72424417445916,-98.78126626918572
86.29,-79.3247757325579,-98.52341464857352
86.3825,-72.30525876770743,-98.69643308411368
86.475,-71.48272514025929,-98.82188224475148
86.5675,-76.67143724035022,-102.18912217687365
86.66,-76.33118815880051,-99.1045493648552
86.7525,-77.21892827402817,-98.20664494883286
86.845,-70.69754210751753,-98.26033965390425
86.9375,-68.20121850204205,-101.06037224960065
87.03,-72.72888934236735,-99.16151415926188
87.1225,-75.52317700398173,-99.64790997517314
87.215,-78.23920233649453,-99.1050394336625
87.3075,-69.25066071344092,-99.40117340875342
87.4,-68.51083735210607,-98.90003565532872
87.4925,-68.59572102202122,-97.92915608061497
87.585,-77.73983931107699,-99.7968232588309
87.6775,-77.20817635013276,-99.18977425052339
87.77,-69.19213075979401,-97.28410311086823
87.8625,-68.14520138039275,-96.8753649546115
87.955,-69.52680746241727,-99.74899068995633
88.0475,-76.93930496289882,-99.61423172071132
88.14,-78.021632785646,-100.11726724609522
88.2325,-72.38607272997521,-97.70856723681115
88.325,-70.0391326694216,-95.40036924168723
88.4175,-72.28344016746175,-98.21883445457112
88.51,-78.53834489450581,-98.5152201996816
88.6025,-78.61422587887408,-101.5859818603194
88.695,-72.61935948775407,-100.32498692916032
88.7875,-69.35774657563796,-98.02407500581374
88.88,-70.40420861469374,-97.1651339076625
88.9725,-79.96464770453076,-96.39180987494092
89.065,-78.36319104241466,-97.84190503167247
89.1575,-71.62381018596263,-99.37115515666575
89.25,-68.28665100919808,-99.34853302824105
89.3425,-68.24520716446479,-100.12710413712104
89.435,-74.26029713320806,-98.44039662051274
89.5275,-74.47920637685368,-98.37438612538884
89.62,-68.1189682816321,-99.22590950477664
89.7125,-63.43320680994569,-99.85946108240663
89.805,-62.41823696423583,-99.01911281872802
89.8975,-68.07601949889708,-98.7784654827838
89.99,-69.46089096178098,-97.9797431956677
90.0825,-66.5330030252508,-97.47569101353206
90.175,-59.17306247641595,-99.15572086264642
90.2675,-59.51987088998345,-99.71551908334283
90.36,-62.25262748470328,-99.57152091732047
90.4525,-65.14249620100514,-100.44606218000905
90.545,-66.06328685334218,-100.07573802521718
90.6375,-56.567207388491695,-102.61291509112841
90.73,-55.15996459356309,-100.18341735235215
90.8225,-57.6935711028337,-99.1973552825212
90.915,-62.94574450663558,-99.45496844462386
91.0075,-60.98746869168744,-98.31106183133588
91.1,-58.04232306472758,-100.33086676589946
91.1925,-56.937372139916164,-100.94413941286538
91.285,-59.2780846672532,-101.9603127556321
91.3775,-64.9177931662699,-100.06596363746131
91.47,-65.04146467798192,-99.66337477319676
91.5625,-62.45596107983067,-99.4368036701627
91.655,-61.76120455199191,-99.03558809691378
91.7475,-61.6924627336258,-98.21645717942658
91.84,-65.40461233371673,-96.3745525192636
91.9325,-68.14061905050688,-98.49609542990142
92.025,-63.4737861066525,-99.57362436348843
92.1175,-60.28613254512233,-98.41121646846217
92.21,-61.45402402753747,-98.40355558271325
92.3025,-66.08559959198388,-99.38856284881982
92.395,-65.4609800880709,-98.72427049334433
92.4875,-63.9552036627712,-96.70589793767354
92.58,-61.09865819450275,-96.58039342399493
92.6725,-62.422257989906186,-98.50844725992572
92.765,-66.76814324673539,-100.59115655239945
92.8575,-66.395988037256,-101.09382586684585
92.95,-67.92324689027663,-99.29183056947585
93.0425,-61.43409491566052,-99.60820532825818
93.135,-61.5166668790327,-99.33336304602489
93.2275,-66.80181452599862,-98.67476221886972
93.32,-68.74803395030831,-97.75830311534737
93.4125,-66.43023817686408,-97.00825636534064
93.505,-65.11465492783391,-96.21183052597844
93.5975,-64.7136606070264,-97.71736849276859
93.69,-66.54892574666812,-96.94100033162906
93.7825,-66.45185598640748,-100.2752507617981
93.875,-66.41753799616637,-98.09268600642028
93.9675,-62.9517090806323,-98.89892129987058
94.06,-62.07270267486386,-96.58852603912167
94.1525,-65.64370847612666,-98.73489499956416
94.245,-66.73098014653009,-99.49288200199884
94.3375,-66.41201707572259,-98.40544816703118
94.43,-63.969579883821325,-98.4926435434893
94.5225,-63.644894767115375,-97.98604314358022
94.615,-65.21815886915942,-98.56952300490161
94.7075,-65.61876214356677,-98.33689416260974
94.8,-64.34665118457566,-99.54584704639207
94.8925,-63.7751856723619,-97.27463635595565
94.985,-62.357154913566106,-97.63099677147626
95.0775,-63.22292237254376,-99.83737091990704
95.17,-67.41229060056438,-98.84336665036906
95.2625,-65.63743305954202,-99.7912111357139
95.355,-63.451206194789194,-101.04018782320716
95.4475,-62.61532112691138,-100.78975960347388
95.54,-68.17107576850621,-100.33150667670934
95.6325,-66.53389065180026,-99.05983059320651
95.725,-67.16653433148105,-97.60204305950839
95.8175,-66.13385666106416,-96.99400985930635
95.91,-63.645330296799614,-98.38316141252227
96.0025,-65.11446079288663,-101.0822494891757
96.095,-66.03805906241116,-97.79356748526273
96.1875,-65.81270866250209,-99.98366050576381
96.28,-65.63212754970239,-98.83397081142114
96.3725,-63.791237599012064,-98.39368510877769
96.465,-64.80923436707175,-96.37235234802878
96.5575,-65.40611144519002,-96.34840270495565
96.65,-67.18398827916766,-98.65295953160907
96.7425,-69.81769244468829,-99.54631488121173
96.835,-70.91695752329484,-99.05184521860734
96.9275,-68.96695960141311,-98.10766852475295
97.02,-68.50716553695325,-100.22010956771497
97.1125,-73.86734827913403,-99.04792841829419
97.205,-74.91571003742808,-95.43382222004527
97.2975,-71.96858839728463,-96.26361708380807
97.39,-71.22615578302009,-97.15288307794196
97.4825,-74.61626863994697,-97.39281130352119
97.575,-76.74844692656133,-97.92281673857305
97.6675,-75.46002432206241,-98.47794576981632
97.76,-74.94883102664552,-98.44690078982912
97.8525,-74.40181772390443,-95.21012918630677
97.945,-75.82823886940551,-95.72373905251098
98.0375,-79.39401090601987,-99.17429960230893
98.13,-80.83527885327878,-99.90936790357175
98.2225,-80.01748307983455,-99.4904216174322
98.315,-78.22410136889032,-98.82283336351922
