Frequency(MHz),EIRP(dBm),BG_EIRP(dBm)
100.44,-69.39083993476123,-70.06083993476125
101.413333,-69.24806161826382,-70.63806161826382
102.386667,-65.85470523544686,-65.59470523544687
103.36,-68.83942378987031,-70.86942378987031
104.333333,-69.71481316799138,-70.53481316799137
105.306667,-70.02584038911007,-71.42584038911008
106.28,-66.40658620214413,-66.82658620214413
107.253333,-69.37850403593828,-72.05850403593827
108.226667,-71.4321755759626,-72.74217557596259
109.2,-71.89387247657817,-72.57387247657815
110.173333,-71.69601996901734,-72.07601996901734
111.146667,-71.48600726657298,-72.40600726657298
112.12,-71.03688841734261,-72.24688841734262
113.093333,-70.1187703098392,-73.59877030983921
114.066667,-71.33571376803565,-72.90571376803565
115.04,-70.5146090040188,-73.00460900401879
116.013333,-70.67481063922314,-72.14481063922314
116.986667,-71.44316055530139,-73.7331605553014
117.96,-71.41398647067606,-72.62398647067606
118.933333,-70.96046173596893,-72.79046173596893
119.906667,-55.40875999966053,-73.80875999966054
120.88,-65.26234518559667,-73.42234518559668
121.853333,-72.12897850293581,-73.91897850293581
122.826667,-68.55775537150032,-73.02775537150033
123.8,-71.37215935626081,-72.1721593562608
124.773333,-58.73808855494535,-71.53808855494535
125.746667,-70.13550880187238,-71.77550880187238
126.72,-69.84660201876018,-72.39660201876019
127.693333,-68.15895557135062,-73.09895557135061
128.666667,-67.89295988986554,-72.51295988986554
129.64,-66.77453688520316,-73.67453688520315
130.613333,-66.73447889230535,-73.22447889230534
131.586667,-44.10287271093679,-73.4728727109368
132.56,-65.77442336284658,-72.88442336284658
133.533333,-63.819246796051345,-73.22924679605134
134.506667,-63.87227883620882,-72.63227883620883
135.48,-62.68273473767063,-72.86273473767062
136.453333,-64.75022633070849,-70.44022633070848
137.426667,-63.16396711732659,-72.15396711732659
138.4,-62.29566323257053,-71.77566323257055
139.373333,-61.37026157321306,-72.55026157321306
140.346667,-62.91345682544625,-71.49345682544626
141.32,-61.5664605685635,-71.4764605685635
