Frequency(MHz),EIRP(dBm),BG_EIRP(dBm)
80.0925,-59.47731124137211,-96.09040938590336
80.185,-61.15550279762358,-94.58974504615874
80.2775,-61.31690234853514,-96.52318591787107
80.37,-60.99306046962539,-96.53402268886367
80.4625,-61.42109402916873,-95.57104214928592
80.555,-62.34626797154044,-93.5152285428295
80.6475,-63.751914746888595,-93.38127113116593
80.74,-64.4765607718908,-95.12748545450799
80.8325,-65.34817325166519,-96.68192111543472
80.925,-67.38200563431118,-93.30613893509243
81.0175,-68.23312751350039,-93.05495826301211
81.11,-68.0073758565486,-92.76170172324782
81.2025,-67.39821107846643,-92.68013246518518
81.295,-67.56379835049763,-94.06394330899373
81.3875,-68.3679331477956,-93.04132639730732
81.48,-69.39780557084555,-93.1925443403768
81.5725,-69.6387149850999,-94.14575691625224
81.665,-70.65204853030235,-94.1527199170211
81.7575,-70.99209782531995,-93.52079960754651
81.85,-70.14040039190397,-96.31532714971647
81.9425,-70.39965291650316,-95.99866719872972
82.035,-71.41158691407477,-97.33408752442634
82.1275,-71.70055545110063,-97.53044284123735
82.22,-72.05701702397758,-95.92595928471977
82.3125,-72.4462193271351,-93.93344772068978
82.405,-73.40341713937069,-91.56009438546444
82.4975,-73.13420648169762,-91.17958612036949
82.59,-74.43946662382521,-93.5864621682588
82.6825,-74.02570858426122,-93.44973507351904
82.775,-73.82196965037127,-93.46338047800799
82.8675,-73.67546918935702,-94.4259040648453
82.96,-73.45635259337732,-93.73616063781091
83.0525,-73.56480949158541,-94.24365012879244
83.145,-74.55011978777782,-92.27189102801219
83.2375,-76.48557635436049,-91.16556140074721
83.33,-74.05398587117733,-91.02216366658749
83.4225,-74.19729985294146,-94.43449009952349
83.515,-75.51001916248755,-94.8798311742063
83.6075,-75.20655544290602,-93.90259273538649
83.7,-74.0640564158215,-93.34844972636837
83.7925,-73.92324509457112,-93.81547226742268
83.885,-74.17200130575812,-92.72269863241827
83.9775,-74.415504793997,-92.41188846098919
84.07,-73.91284255868341,-93.99594955331231
84.1625,-75.97858963899597,-92.84998093538269
84.255,-76.67313196274304,-91.29298975082898
84.3475,-76.61790527016552,-91.19887603432568
84.44,-74.59229602320985,-91.37398089869814
84.5325,-73.76142457600862,-93.37613252278597
84.625,-73.45762402194097,-93.8917365707691
84.7175,-73.91941568145941,-94.34518930206488
84.81,-73.77755489993153,-92.67453518557606
84.9025,-73.60801715041109,-92.1531145014853
