Frequency(MHz),EIRP(dBm),BG_EIRP(dBm)
80.0,-94.01788024821782,-93.68963317790532
80.0925,-92.30508393616245,-92.52095002502963
80.185,-92.72956810231422,-92.73048362965797
80.2775,-93.0467146088292,-92.2162702728917
80.37,-94.94607879196819,-92.84978057419475
80.4625,-93.17437106798019,-94.57505160997238
80.555,-90.54590464326226,-93.45822764130914
80.6475,-92.43809507251689,-93.35726926685282
80.74,-92.20672646285132,-93.14940682173804
80.8325,-90.95973428110248,-94.15066750864155
80.925,-91.11303725857292,-94.70755019802604
81.0175,-92.732547884442,-93.76891720817247
81.11,-91.44054447124043,-94.2065280527834
81.2025,-91.53684882313894,-93.42517737538503
81.295,-94.94332238545833,-94.05906030049739
81.3875,-93.8975460487281,-92.64582943495857
81.48,-90.17899354380454,-92.255890211285
81.5725,-89.16398596465568,-94.05455755889396
81.665,-91.90787559995104,-93.5991750384276
81.7575,-94.109462430374,-92.83201186885056
81.85,-94.10270859925794,-93.02605607240247
81.9425,-94.04938824666485,-94.03836377156719
82.035,-91.24004422788406,-93.51296292905593
82.1275,-92.33921973390905,-93.72093360109655
82.22,-94.12293844668358,-91.76519613711326
82.3125,-94.24945648348869,-92.55462463534415
82.405,-93.14096862556326,-94.14949065925467
82.4975,-91.35924917761199,-94.1624260574948
82.59,-92.73480997770355,-93.75442515104339
82.6825,-93.41985601407228,-93.87368291836916
82.775,-91.97773243541195,-91.66498066539242
82.8675,-91.31957767630699,-91.72096012259605
82.96,-92.35478273438503,-94.66122499512721
83.0525,-93.15332178469772,-92.28745416995163
83.145,-89.36236526871326,-92.08944656754139
83.2375,-91.07430172294184,-90.61670589774653
83.33,-93.849946742639,-92.37211776314682
83.4225,-92.96537354661939,-91.46263459398267
83.515,-89.54714171353798,-90.5491711324833
83.6075,-90.25718791089926,-91.36658579908286
83.7,-91.43722742624583,-90.44204157419504
83.7925,-92.73573778951639,-90.0755357631492
83.885,-92.64884467692353,-92.19091315836884
83.9775,-92.46460441999585,-93.44009880476148
84.07,-93.21448103228914,-90.54465071002352
84.1625,-91.7525011521031,-91.02458061987653
84.255,-91.2251102775586,-91.9549686759961
84.3475,-90.3915767904981,-88.5778789755567
84.44,-89.93671317825871,-88.23743339310246
84.5325,-90.25790145268779,-90.75940444341045
84.625,-90.53755710462544,-90.31741855482075
84.7175,-92.24202280462184,-91.99998026311793
84.81,-90.69333044833756,-91.6727081949196
84.9025,-90.99693548929508,-91.05364477884586
84.995,-89.83193143229491,-89.95058377604491
85.0875,-92.35549161859956,-89.4190521044394
85.18,-90.61774801941475,-90.1540410491999
85.2725,-91.76396250612234,-88.74111246950125
85.365,-89.63279339235055,-92.2765311853193
85.4575,-89.55732839010032,-93.3258296718386
85.55,-90.74996460697298,-92.82703675052767
85.6425,-90.95226503962688,-89.47200228327922
85.735,-88.83144286912874,-89.69646362108186
85.8275,-90.44961491508188,-91.35570469779672
