,Frequency (MHz),Clean_EIRP(dBm)
0,80.0,-89.99399373959002
1,80.0925,-89.68063030126898
2,80.185,-86.30772749908118
3,80.2775,-84.47751745827895
4,80.37,-87.77322434528264
5,80.4625,-88.44863777284255
6,80.555,-90.50544013854443
7,80.6475,-83.08663218716502
8,80.74,-82.69383678495959
9,80.8325,-85.80784593537629
10,80.925,-88.82165901329797
11,81.0175,-87.04295977388543
12,81.11,-84.54197035670484
13,81.2025,-81.88591794180996
14,81.295,-82.17527633014137
15,81.3875,-84.07018725851408
16,81.48,-82.44014224218881
17,81.5725,-81.47161367834047
18,81.665,-76.77489320420133
19,81.7575,-78.17155278933913
20,81.85,-84.54263789814256
21,81.9425,-85.90000469387824
22,82.035,-81.71017272847129
23,82.1275,-78.09974705129883
24,82.22,-78.07160881737713
25,82.3125,-83.53234237501414
26,82.405,-85.6237409268208
27,82.4975,-85.44997381846525
28,82.59,-82.83706788777658
29,82.6825,-81.75476644884668
30,82.775,-84.56367695255148
31,82.8675,-87.9055005925577
32,82.96,-89.44129669022101
33,83.0525,-79.55600557760667
34,83.145,-78.83032773177281
35,83.2375,-85.24052179844831
36,83.33,-86.6986691624312
37,83.4225,-86.04658559164834
38,83.515,-81.36283565293493
39,83.6075,-78.73257677907529
40,83.7,-82.91808557148474
41,83.7925,-87.7135904988325
42,83.885,-87.1917579712756
43,83.9775,-81.18555243836717
44,84.07,-78.43157892819411
45,84.1625,-80.09193202670595
46,84.255,-86.9322402007338
47,84.3475,-86.06617582777244
48,84.44,-81.10323498671528
49,84.5325,-78.39727622373809
50,84.625,-79.15467852050753
51,84.7175,-84.8534364509583
52,84.81,-86.56709257830222
53,84.9025,-81.09510665314068
54,84.995,-75.46610017779824
55,85.0875,-77.18025982174802
56,85.18,-84.4267889493875
57,85.2725,-82.33707057455341
58,85.365,-80.65788963394526
59,85.4575,-74.7315438197548
60,85.55,-75.22239605911322
61,85.6425,-80.07357672965883
62,85.735,-81.33207754974299
63,85.8275,-81.72486069708597
64,85.92,-75.4299799365224
65,86.0125,-74.42589757042313
66,86.105,-80.56690931266203
67,86.1975,-83.86194899709189
68,86.29,-79.37732239100589
69,86.3825,-72.31523957854446
70,86.475,-71.49074689957092
71,86.5675,-76.68364472111696
72,86.66,-76.35418124873291
73,86.7525,-77.25366174296806
74,86.845,-70.7051608876389
75,86.9375,-68.20346746022162
76,87.03,-72.7387752382145
77,87.1225,-75.54000964938298
78,87.215,-78.2749284424849
79,87.3075,-69.25485775120342
80,87.4,-68.51480984464746
81,87.4925,-68.60078735929054
