,Frequency (MHz),Clean_EIRP(dBm)
0,100.44,-77.83862908108995
1,101.413333,-74.87223575754791
2,102.386667,
3,103.36,-73.11784191411681
4,104.333333,-77.35806859667875
5,105.306667,-75.62361495780968
6,106.28,-76.7602441430096
7,107.253333,-72.74630787199752
8,108.226667,-77.27585375518424
9,109.2,-80.28219105456103
10,110.173333,-82.46464181553344
11,111.146667,-78.67785469059484
12,112.12,-77.1778401740142
13,113.093333,-72.70524796547517
14,114.066667,-76.51593754984273
15,115.04,-74.11613634248694
16,116.013333,-76.09376826185749
17,116.986667,-75.31745246202124
18,117.96,-77.55493822734768
19,118.933333,-75.59671166136313
20,119.906667,-55.47199275596344
21,120.88,-65.98226327162982
22,121.853333,-76.84259423654507
23,122.826667,-70.47748883433073
24,123.8,-79.1129641077566
25,124.773333,-58.972208117249814
26,125.746667,-75.15913972565134
27,126.72,-73.37183591994182
28,127.693333,-69.83787231036877
29,128.666667,-69.73150005103142
30,129.64,-67.76635452715959
31,130.613333,-67.83803477238094
32,131.586667,-44.10789654722845
33,132.56,-66.71396206173395
34,133.533333,-64.34761272079233
35,134.506667,-64.4923154928105
36,135.48,-63.120762497301534
37,136.453333,-66.11565307191691
38,137.426667,-63.74976099599391
39,138.4,-62.81505506460486
40,139.373333,-61.71451913825671
41,140.346667,-63.561789236286415
42,141.32,-62.03415158266398
43,142.293333,-62.57727946202564
44,143.266667,-62.84278793695908
45,144.24,-62.84312433324079
46,145.213333,-64.51768999463765
47,146.186667,-65.98438952443941
48,147.16,-66.31659333837841
49,148.133333,-66.15210997350985
50,149.106667,-66.93998745113622
51,150.08,-67.10585431944357
52,151.053333,-66.70936750340559
53,152.026667,-65.80068661438874
54,153.0,-64.65837186036113
55,153.973333,-65.01719988229988
56,154.946667,-65.18502623374937
57,155.92,-65.03708253622328
58,156.893333,-65.89727246810243
59,157.866667,-64.94964632244718
60,158.84,-65.63009734441304
61,159.813333,-65.77973505995145
62,160.786667,-64.49989565310523
63,161.76,-64.713951935316
64,162.733333,-64.22271760376458
65,163.706667,-64.09874405900852
66,164.68,-64.94247348927424
67,165.653333,-65.15846241404671
68,166.626667,-65.71685360081288
69,167.6,-65.89472675713738
70,168.573333,-65.44392878922922
71,169.546667,-65.04667569039144
72,170.52,-65.31948164412184
73,171.493333,-64.992852825183
74,172.466667,-67.16481259455948
75,173.44,-66.3479711919133
76,174.413333,-65.4759810371415
77,175.386667,-66.20108958639136
78,176.36,-67.32035623427718
79,177.333333,-68.15469934451882
80,178.306667,-67.37219595954971
81,179.28,-66.12801939049736
82,180.253333,-71.29530624161025
83,181.226667,-67.87608127686059
84,182.2,-69.03974422412094
85,183.173333,-67.93543190848445
86,184.146667,-67.40015694013175
87,185.12,-69.30450813653155
88,186.093333,-71.4620101065008
89,187.066667,-69.8274038664665
90,188.04,-70.12437183958008
91,189.013333,-72.30422868380145
92,189.986667,-69.80994221162337
93,190.96,-72.59942002535537
94,191.933333,-71.18164294131265
95,192.906667,-70.22315160278939
96,193.88,-73.54672597714357
97,194.853333,-69.57553785890617
98,195.826667,-73.75492358716495
99,196.8,-69.23756004142898
100,197.773333,-69.2827895652302
101,198.746667,-70.07605143552907
102,199.72,-69.4370594294518
103,200.693333,-68.55489803590352
104,201.666667,-70.4541959380106
105,202.64,-71.1691601705596
106,203.613333,-70.10462154794077
107,204.586667,-76.5386573820306
108,205.56,-72.97253678724186
109,206.533333,-70.91946688078565
110,207.506667,-75.01409001607593
111,208.48,-70.6595751236323
112,209.453333,-71.23307772571975
113,210.426667,-70.79054107701774
114,211.4,-72.58894503039885
115,212.373333,-70.23672002015964
116,213.346667,-70.70949519687453
117,214.32,-78.71389486868351
118,215.293333,-71.98384007432408
119,216.266667,-71.62172032135916
120,217.24,-73.00762070858684
121,218.213333,-73.17335365842285
122,219.186667,-69.27635469593676
123,220.16,
124,221.133333,-70.47584832143117
125,222.106667,-68.9863768526687
126,223.08,-72.94761883583737
127,224.053333,-68.77476840325944
128,225.026667,-72.0593525587567
129,226.0,-74.18565430670282
130,226.973333,-68.72235926006772
131,227.946667,-71.39575952466699
132,228.92,-68.62279775628853
133,229.893333,-68.9676523707155
134,230.866667,-68.119916772214
135,231.84,-70.60850614823781
136,232.813333,-73.10504711197255
137,233.786667,-75.15100119468015
138,234.76,-70.11766546306758
139,235.733333,-70.87182300138294
140,236.706667,-72.31015646213012
141,237.68,-69.33375733615665
142,238.653333,-71.0105262778906
143,239.626667,-74.72193939386453
144,240.6,-69.88139242523238
145,241.573333,-69.74608955273298
146,242.546667,-71.29451530525027
147,243.52,-70.1717979149706
148,244.493333,-71.92920879738747
149,245.466667,-70.91710722564108
150,246.44,-69.30390194742905
151,247.413333,-71.81131792060123
152,248.386667,-75.57697888219296
153,249.36,-71.89495819357495
154,250.333333,-71.78167233266115
155,251.306667,-69.30456939053973
