,Frequency (MHz),Clean_EIRP(dBm)
0,80.0925,-59.47825861625138
1,80.185,-61.15747276294468
2,80.2775,-61.31821219817553
3,80.37,-60.994273156626384
4,80.4625,-61.42276463128305
5,80.555,-62.349587330434716
6,80.6475,-63.756647188599196
7,80.74,-64.48030083415826
8,80.8325,-65.35136897593816
9,80.925,-67.39312107369474
10,81.0175,-68.24745987181578
11,81.11,-68.02193310800453
12,81.2025,-67.41110059087246
13,81.295,-67.57353156703599
14,81.3875,-68.38276469138522
15,81.48,-69.41596985687781
16,81.5725,-69.65412668256668
17,81.665,-70.67148819605492
18,81.7575,-71.01642714872082
19,81.85,-70.15089137238368
20,81.9425,-70.41163360509186
21,82.035,-71.42270653834699
22,82.1275,-71.71191506130026
23,82.22,-72.07487295814377
24,82.3125,-72.47716556540539
25,82.405,-73.47032197901206
26,82.4975,-73.20286186471569
27,82.59,-74.49264572574083
28,82.6825,-74.07558244276983
29,82.775,-73.86939519729606
30,82.8675,-73.71216142244725
31,82.96,-73.4972642895874
32,83.0525,-73.60211424296891
33,83.145,-74.62413185510307
34,83.2375,-76.63598913506674
35,83.33,-74.14216545626607
36,83.4225,-74.2386169216402
37,83.515,-75.56052317262733
38,83.6075,-75.26559310092173
39,83.7,-74.11556956394796
40,83.7925,-73.96799552265082
41,83.885,-74.23306232544503
42,83.9775,-74.48494537524236
43,84.07,-73.95565920874823
44,84.1625,-76.06877722389841
45,84.255,-76.82567892180286
46,84.3475,-76.77184888460108
47,84.44,-74.68438596201746
48,84.5325,-73.80914423315852
49,84.625,-73.49710113787265
50,84.7175,-73.95896901714046
51,84.81,-73.83390579007116
52,84.9025,-73.66915751271097
53,84.995,-74.70148990596705
54,85.0875,-75.08628865504508
55,85.18,-74.44626855920666
56,85.2725,-72.2164696065656
57,85.365,-71.77183012437357
58,85.4575,-72.93744396109781
59,85.55,-74.17529608481145
60,85.6425,-72.68385684777896
61,85.735,-72.37705947903808
62,85.8275,-73.84279330923447
63,85.92,-74.64953743160224
64,86.0125,-73.25837421217983
65,86.105,-73.40503324097135
