,Frequency (MHz),Clean_EIRP(dBm)
0,80.0,
1,80.0925,-105.44856880604762
2,80.185,-129.49115577343414
3,80.2775,
4,80.37,
5,80.4625,-98.77035705439015
6,80.555,-93.6564430386504
7,80.6475,-99.63344419676213
8,80.74,-99.30374275030891
9,80.8325,-93.79661488327432
10,80.925,-93.60847552381004
11,81.0175,-99.4631303928368
12,81.11,-94.70972864419889
13,81.2025,-96.06392383785126
14,81.295,
15,81.3875,
16,81.48,-94.37983051334629
17,81.5725,-90.86642705886801
18,81.665,-96.82175411022811
19,81.7575,
20,81.85,
21,81.9425,
22,82.035,-95.13905564218071
23,82.1275,-97.98543761915985
24,82.22,
25,82.3125,
26,82.405,-99.97646490400308
27,82.4975,-94.58704715913392
28,82.59,-99.52812818109228
29,82.6825,-103.45373438152686
30,82.775,
31,82.8675,-101.86098268163965
32,82.96,-96.20550300363522
33,83.0525,
34,83.145,-92.67565008012888
35,83.2375,
36,83.33,
37,83.4225,
38,83.515,-96.40756599757749
39,83.6075,-96.72705495866242
40,83.7,
41,83.7925,
42,83.885,
43,83.9775,-99.42882117545574
44,84.07,
45,84.1625,
46,84.255,-99.33038697916237
47,84.3475,
48,84.44,
49,84.5325,-99.88134808859243
50,84.625,
51,84.7175,
52,84.81,-97.64216153324361
53,84.9025,-109.86656032786837
54,84.995,-105.52620243563337
55,85.0875,
56,85.18,
57,85.2725,
58,85.365,-93.0434709229863
59,85.4575,-91.92232866892985
60,85.55,-94.95051542973762
61,85.6425,
62,85.735,-96.26435457296756
63,85.8275,-97.70091669511258
64,85.92,
65,86.0125,-96.06112641794053
66,86.105,-90.77423624709706
67,86.1975,-95.86802627529543
68,86.29,-100.86227880725562
69,86.3825,-97.22349027251626
70,86.475,
71,86.5675,-88.66917304567549
72,86.66,-91.13256789451913
73,86.7525,-89.78619302186377
74,86.845,-89.0344327584285
75,86.9375,-97.44688077253241
76,87.03,
77,87.1225,-96.46023672228297
78,87.215,
79,87.3075,
80,87.4,-97.44127103210586
81,87.4925,-93.78431909033942
82,87.585,-90.98203988984847
83,87.6775,-95.31582176262933
84,87.77,-92.54172034597738
85,87.8625,-100.34047726370528
86,87.955,-100.00048414145877
87,88.0475,-95.95869710082593
88,88.14,-95.1716488482979
89,88.2325,-94.0865180403312
90,88.325,-89.079306998274
91,88.4175,-87.19698643771004
92,88.51,-88.30273412286667
93,88.6025,-86.7665097252065
94,88.695,-91.26024985342737
95,88.7875,-87.97101950134285
96,88.88,-90.62636935676329
97,88.9725,-95.65923029687778
98,89.065,-97.60459122694829
99,89.1575,
100,89.25,-95.121984057823
101,89.3425,-92.93446411112609
102,89.435,-93.29329363935649
103,89.5275,-93.47439784293786
104,89.62,
105,89.7125,
106,89.805,-96.75907920462168
107,89.8975,
108,89.99,
109,90.0825,
110,90.175,
111,90.2675,-91.03175893185312
112,90.36,
113,90.4525,-92.04433079693389
114,90.545,-94.96947559073979
115,90.6375,-88.33350504601515
116,90.73,-87.33834942218644
117,90.8225,
118,90.915,-92.0840521459397
119,91.0075,
120,91.1,
121,91.1925,-91.56950036682353
122,91.285,-95.2455121059551
123,91.3775,
124,91.47,
125,91.5625,
126,91.655,-92.5122072746033
127,91.7475,-93.6395436426501
128,91.84,-88.55007432603952
129,91.9325,-102.88742364030865
130,92.025,-91.23508806311642
131,92.1175,-97.36352264870865
132,92.21,
133,92.3025,-90.20571031754682
134,92.395,-96.0688906709909
135,92.4875,-94.01070825401776
136,92.58,-91.90535077565704
137,92.6725,
138,92.765,
139,92.8575,
140,92.95,
141,93.0425,-93.03889979770403
142,93.135,-87.7384311100327
143,93.2275,-90.27870914743414
144,93.32,-97.74572858172853
145,93.4125,-95.65726807200734
146,93.505,
147,93.5975,-95.82808472025862
148,93.69,-97.30755330454534
149,93.7825,
150,93.875,
151,93.9675,
152,94.06,-97.15776028038356
153,94.1525,
154,94.245,
155,94.3375,-91.6061393141827
156,94.43,-92.45622925884449
157,94.5225,-91.198085095295
158,94.615,-96.54911828999452
159,94.7075,
160,94.8,-99.96538307394653
161,94.8925,-92.2005090264731
162,94.985,-101.4147724776295
